Țara,Speranța de viață la naștere (ani),Rata mortalității infantile (per 1000 nașteri),Accesul la serviciile sanitare de bază (% din populație),Populația urbană (% din populație),Rata brută de înscriere școlară (%),Rata șomajului (% din totalul forței de muncă),Accesul la electricitate (% din populație)
St. Vincent and the Grenadines,68.972,10.1,..,53.875,127.331859,19.417,100
Sudan,65.578,37,..,35.956,..,7.53,63.2
Suriname,70.289,14.8,89.97234204,66.307,..,8.16,99
Sweden,83.1097561,2,98.86081461,88.492,139.4065247,7.392,100
Switzerland,83.45365854,3.5,99.89987583,74.092,103.3923569,4.122,100
Syrian Arab Republic,72.3,17.8,94.98032512,56.769,38.48703003,13.268,89
Tajikistan,71.288,26.7,96.74832912,27.968,89.26158966,11.634,100
Tanzania,66.782,30,30.61794968,36.682,..,2.588,45.8
Thailand,79.68,7,99.01562526,52.889,101.8749338,0.94,99.9
Timor-Leste,69.056,41.5,58.37835321,32.074,..,1.537,99.7
Togo,61.588,42.1,19.19763671,43.921,..,1.965,57.2
Tonga,71.27,9.4,95.2955413,23.125,96.99671806,2.302,100
Trinidad and Tobago,74.708,13.8,93.91521101,53.34,..,4.383,100
Tunisia,74.263,9.9,97.43752699,70.214,..,15.3,100
Turkiye,78.475,8.3,99.24875002,77.022,116.0401764,10.465,100
Turkmenistan,69.41,35,99.81820839,53.494,95.69634247,4.109,100
Turks and Caicos Islands,74.925,4.1,93.1462182,94.047,105.5642014,..,99.9
Tuvalu,64.854,17.4,83.54633466,65.527,91.31652832,..,100
Uganda,63.638,30.2,21.01213034,26.159,..,2.886,47.1
Ukraine,68.58792683,7,97.74530072,69.919,..,..,100
United Arab Emirates,79.196,4.3,99.09130546,87.543,..,2.872,100
United Kingdom,82.05853659,3.6,99.10479026,84.398,113.228363,3.73,100
United States,77.43414634,5.4,99.63161091,83.084,97.47348785,3.65,100
Uruguay,78,5.6,98.32483129,95.688,121.1379318,7.877,100
Uzbekistan,71.674,11.9,96.30669419,50.466,86.92143927,4.49,100
Vanuatu,70.492,15.6,46.71493338,25.816,75.42296104,5.143,70
"Venezuela, RB",71.105,21.2,98.39558598,88.378,..,5.707,100
Viet Nam,74.58,16.2,92.17034029,38.766,97.24947611,1.523,100
Virgin Islands (U.S.),80.3195122,..,99.10854398,96.136,..,13.007,100
West Bank and Gaza,73.444,12.3,99.44160572,77.291,89.63030243,24.42,100
"Yemen, Rep.",63.72,33.1,54.84475849,39.188,..,17.363,76
Zambia,61.803,39,36.30136854,45.761,..,5.995,47.8
Zimbabwe,59.391,34.6,34.61785812,32.395,..,10.087,50.1
